数据说明：以下数据为您所选时间周期的相关指标，如需查看其他时间周期的数据，请重新选择后下载,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
收藏网址：sycm.1688.com/ms，让数据帮您生意参谋！点此进入,,,,,,,,,,,,,,,,,
终端类型,搜索词,展现次数,展现次数增幅,点击转化率,访客数,浏览量,有展现的商品数,引导下单买家数,引导支付买家数,引导支付金额,最好排名,平均排名,全网搜索指数,全网点击率,全网商品指数,全网供需指数,包月推广价
所有终端,羽毛球馆专用灯,8,14.29%,0.00%,0,0,2,0,0,0.0,4,41,15,66.67%,27,197109,-
所有终端,黑板灯,8,60.00%,12.50%,1,1,3,0,0,0.0,14,14,25,75.00%,35,198454,-
所有终端,教室灯,7,75.00%,0.00%,0,0,1,0,0,0.0,100,100,58,47.06%,63,232865,-
所有终端,无影灯,7,600.00%,0.00%,0,0,1,0,0,0.0,85,132,94,28.57%,148,206532,-
所有终端,球馆灯,7,133.33%,14.29%,1,1,2,0,0,0.0,14,253,22,40.00%,36,205985,-
所有终端,防炫目球馆灯,6,-,0.00%,0,0,1,0,0,0.0,8,9,9,50.00%,12,214413,-
所有终端,体育馆照明,5,400.00%,0.00%,0,0,1,0,0,0.0,56,56,15,100.00%,16,174415,-
所有终端,led灯管,4,300.00%,0.00%,0,0,1,0,0,0.0,124,128,326,44.29%,518,204012,-
所有终端,吊灯,4,33.33%,0.00%,0,0,2,0,0,0.0,176,350,2555,48.46%,5087,184854,-
所有终端,球场灯照明灯,4,0.00%,0.00%,0,0,1,0,0,0.0,5,22,20,60.00%,32,211150,-
所有终端,led球馆灯,3,-,0.00%,0,0,1,0,0,0.0,16,16,9,33.33%,7,259235,-
所有终端,台球灯,3,0.00%,0.00%,0,0,1,0,0,0.0,20,70,18,75.00%,25,212109,-
所有终端,室内乒乓球灯,3,-,0.00%,0,0,2,0,0,0.0,4,6,7,0.00%,7,239813,-
所有终端,教室护眼灯,3,0.00%,33.33%,1,1,1,0,0,0.0,10,30,33,81.82%,28,249538,-
所有终端,格栅灯,3,200.00%,0.00%,0,0,1,0,0,0.0,214,370,165,17.50%,259,209919,-
所有终端,植物灯,3,200.00%,0.00%,0,0,1,0,0,0.0,1083,1083,466,50.98%,809,200706,-
所有终端,羽毛球场灯,3,-,0.00%,0,0,1,0,0,0.0,1,2,5,0.00%,3,284087,-
所有终端,量子灯,3,50.00%,0.00%,0,0,2,0,0,0.0,-,-,43,63.64%,55,221401,-
所有终端,led净化灯长条灯高高日光灯,2,-,0.00%,0,0,1,0,0,0.0,58,58,12,100.00%,24,157785,-
所有终端,led吊灯,2,-,0.00%,0,0,1,0,0,0.0,-,-,45,30.00%,86,198783,-
所有终端,led防眩球馆节能照明灯,2,-,0.00%,0,0,1,0,0,0.0,-,-,5,0.00%,5,227369,-
所有终端,冠誉灯饰,2,-,0.00%,0,0,1,0,0,0.0,13,13,3,0.00%,2,270291,-
所有终端,办公室灯,2,-,0.00%,0,0,1,0,0,0.0,281,281,63,50.00%,82,224843,-
所有终端,台球桌灯,2,-,0.00%,0,0,1,0,0,0.0,-,-,7,0.00%,9,198122,-
所有终端,护眼灯教室,2,100.00%,50.00%,1,1,1,0,0,0.0,42,51,18,33.33%,16,247689,-
所有终端,篮球馆灯,2,-,0.00%,0,0,2,0,0,0.0,11,13,6,100.00%,3,276604,-
所有终端,网球场专用灯,2,-,0.00%,0,0,2,0,0,0.0,5,8,3,0.00%,3,248282,-
所有终端,羽毛球灯,2,100.00%,100.00%,1,2,2,0,0,0.0,7,10,3,100.00%,3,260053,-
所有终端,羽毛球馆灯光,2,-,0.00%,0,0,2,0,0,0.0,42,141,10,100.00%,30,148854,-
所有终端,长条灯,2,-33.33%,0.00%,0,0,1,0,0,0.0,324,488,165,55.32%,220,223067,-
所有终端,防眩目球馆灯,2,-66.67%,0.00%,0,0,1,0,0,0.0,17,17,8,0.00%,12,215519,-
所有终端,防眩羽毛球场灯,2,-,0.00%,0,0,1,0,0,0.0,-,-,18,0.00%,44,132770,-
所有终端,高空室内照明,2,-,0.00%,0,0,2,0,0,0.0,-,-,14,0.00%,39,137420,-
所有终端,led办公灯,1,-,0.00%,0,0,1,0,0,0.0,2010,2010,47,66.67%,160,125615,-
所有终端,led灯工厂灯,1,-,0.00%,0,0,1,0,0,0.0,8,8,11,0.00%,23,187959,-
所有终端,led灯长条灯条,1,-,0.00%,0,0,1,0,0,0.0,83,83,8,100.00%,13,211872,-
所有终端,led篮球,1,-,0.00%,0,0,1,0,0,0.0,-,-,30,0.00%,84,151014,-
所有终端,led长条灯,1,0.00%,0.00%,0,0,1,0,0,0.0,214,214,277,24.73%,266,243058,-
所有终端,led长灯,1,-,0.00%,0,0,1,0,0,0.0,-,-,9,0.00%,15,205985,-
所有终端,LED 吊灯,1,-,0.00%,0,0,1,0,0,0.0,-,-,0,-,0,0,-
所有终端,LED全光谱盆栽植物生长灯,1,-,0.00%,0,0,1,0,0,0.0,-,-,0,-,0,0,-
所有终端,LED吊灯,1,-,0.00%,0,0,1,0,0,0.0,337,337,0,-,0,0,-
所有终端,LED吊灯 ,1,-,0.00%,0,0,1,0,0,0.0,-,-,0,-,0,0,-
所有终端,LED护眼教室灯,1,-,0.00%,0,0,1,0,0,0.0,45,45,0,-,0,0,-
